aug_bets,aug_roi,bets,ev_max,ev_min,family,hit_rate,hits,l1,l2,largest,max_odds,maxdd,min_odds,profit,ranks,roi,selector,sep_bets,sep_l1,sep_roi
1928,102.26141078838174,2508,,,fixed_ranks,5.62200956937799,141,82.51296370163541,78.33998403830806,28600.0,,35910.0,,-15340.0,"1,2,3,5",93.88357256778309,,580,57.35751295336787,66.03448275862068
964,146.37966804979254,1254,,,fixed_ranks,5.6618819776714515,71,112.37031125299282,99.41693290734824,28600.0,,15860.0,,44000.0,"4,5",135.08771929824562,,290,43.910034602076124,97.55172413793103
1446,120.15214384508991,1881,,,fixed_ranks,6.0606060606060606,114,100.96808510638297,92.33102714209686,28600.0,,24580.0,,30320.0,"1,4,5",116.1190855927698,,435,67.00460829493088,102.71264367816092
1446,127.39280774550484,1881,,,fixed_ranks,5.475810738968634,103,99.65425531914893,91.01649813730708,28600.0,,21070.0,,27850.0,"2,4,5",114.80595427963848,,435,37.1889400921659,72.96551724137932
1928,112.4688796680498,2508,,,fixed_ranks,5.821371610845295,146,94.28400478659752,87.80526735833999,28600.0,,27050.0,,14170.0,"1,2,4,5",105.64992025518342,,580,56.18307426597582,82.98275862068965
1446,125.95435684647303,1881,,,fixed_ranks,4.944178628389155,93,100.82978723404256,92.19265566790847,28600.0,,18700.0,,30060.0,"3,4,5",115.98086124401914,,435,47.07373271889401,82.82758620689656
1928,111.39004149377594,2508,,,fixed_ranks,5.422647527910685,136,95.16553649780614,88.68715083798882,28600.0,,25820.0,,16380.0,"1,3,4,5",106.5311004784689,,580,63.59240069084629,90.37931034482759
1928,116.82053941908714,2508,,,fixed_ranks,4.984051036682616,125,94.18029517351415,87.70151636073423,28600.0,,25910.0,,13910.0,"2,3,4,5",105.54625199362042,,580,41.24352331606217,68.06896551724138
2410,106.99585062240664,3135,,,fixed_ranks,5.358851674641149,168,90.9795788130185,85.79636131503351,28600.0,,31630.0,,230.0,"1,2,3,4,5",100.07336523125997,,725,55.62154696132597,77.06206896551724
482,75.62240663900415,627,,,fixed_ranks,4.146730462519936,26,67.12460063897764,56.352,7500.0,,19040.0,,-13180.0,6,78.9792663476874,,145,52.361111111111114,90.13793103448276
964,71.65975103734439,1254,,,fixed_ranks,5.502392344497608,69,72.65762170790104,67.28434504792332,7500.0,,32990.0,,-26860.0,"1,6",78.5805422647528,,290,82.80276816608996,101.58620689655173
964,82.52074688796681,1254,,,fixed_ranks,4.625199362041467,58,68.33998403830806,62.40415335463259,10440.0,,30920.0,,-29330.0,"2,6",76.61084529505582,,290,38.02768166089965,56.96551724137931
1446,77.57952973720609,1881,,,fixed_ranks,5.369484316852738,101,71.62234042553192,67.66897285790314,10440.0,,43630.0,,-43010.0,"1,2,6",77.13450292397661,,435,63.08755760368663,75.65517241379311
964,80.36307053941908,1254,,,fixed_ranks,3.827751196172249,48,70.02394253790902,64.08945686900958,10540.0,,28550.0,,-27120.0,"3,6",78.37320574162679,,290,52.8719723183391,71.75862068965517
1446,76.14107883817428,1881,,,fixed_ranks,4.837852206273259,91,72.74468085106383,68.79191059073976,10540.0,,41420.0,,-40800.0,"1,3,6",78.30940988835725,,435,72.97235023041475,85.51724137931035
1446,83.38174273858921,1881,,,fixed_ranks,4.253056884635832,80,71.43085106382979,65.91271953166579,10540.0,,43270.0,,-43270.0,"2,3,6",76.99627857522594,,435,43.15668202764977,55.770114942528735
1928,79.46058091286307,2508,,,fixed_ranks,4.904306220095694,123,73.11926605504587,68.98244213886672,10540.0,,56950.0,,-56950.0,"1,2,3,6",77.292663476874,,580,60.656303972366146,70.08620689655173
964,100.77800829875518,1254,,,fixed_ranks,4.226475279106858,53,88.95450917797287,76.56549520766774,16330.0,,25650.0,,2390.0,"4,6",101.90590111642743,,290,52.04152249134948,105.65517241379311
1446,89.75103734439834,1881,,,fixed_ranks,5.103668261562999,96,85.36170212765957,77.10484300159659,16330.0,,38900.0,,-11290.0,"1,4,6",93.99787347155768,,435,72.41935483870968,108.11494252873563
1446,96.99170124481327,1881,,,fixed_ranks,4.518872939925571,85,84.04787234042553,75.79031399680682,16330.0,,31860.0,,-13760.0,"2,4,6",92.68474215842637,,435,42.6036866359447,78.36781609195403
1928,89.66804979253112,2508,,,fixed_ranks,5.103668261562999,128,82.58077383326685,76.38866719872307,16330.0,,42120.0,,-27440.0,"1,2,4,6",89.05901116427432,,580,60.241796200345426,87.03448275862068
1446,95.55325034578146,1881,,,fixed_ranks,3.9872408293460926,75,85.22340425531915,76.9664715274082,16330.0,,33560.0,,-11550.0,"3,4,6",93.85964912280701,,435,52.48847926267281,88.22988505747126
1928,88.58921161825727,2508,,,fixed_ranks,4.704944178628389,118,83.46230554447547,77.2705506783719,16330.0,,41650.0,,-25230.0,"1,3,4,6",89.9401913875598,,580,67.65112262521589,94.43103448275862
